Name,Location,Website,School Type,Largest Program
Access Careers,"474 Fulton Avenue, Suite 201, Hempstead, New York 11550-0000",www.accesscareers.net/,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Access Careers-Islandia,"1930 Veterans Highway, Suite 10, Islandia, New York 11749-1599",www.accesscareers.net/,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Ace Institute of Technology,"312 West 36 Street, 2nd Floor, New York, New York 10018",www.acecareer.edu/,"2-year, Private for-profit",Medical/Clinical Assistant
Adelphi University,"1 South Ave, Garden City, New York 11530-0701",www.adelphi.edu/,"4-year, Private not-for-profit",-
Aesthetic Science Institute,"922 Troy-Schenectady Road, Latham, New York 12110-1095",www.aestheticscienceinstitute.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Albany BOCES-Adult Practical Nursing Program,"900  Watervliet Shaker Rd, Albany, New York 12205",https://www.capitalregionboces.org/adult-education/classes-programs/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, New York 12208-3492",www.acphs.edu/,"4-year, Private not-for-profit",-
Albany Law School,"80 New Scotland Avenue, Albany, New York 12208",www.albanylaw.edu/,"4-year, Private not-for-profit",-
Albany Medical College,"47 New Scotland Ave, Albany, New York 12208-3479",www.amc.edu/,"4-year, Private not-for-profit",-
Albert Einstein College of Medicine,"1300 Morris Park Avenue, Bronx, New York 10461-1900",www.einsteinmed.edu/,"4-year, Private not-for-profit",-
Alfred University,"One Saxon Drive, Alfred, New York 14802-1205",www.alfred.edu/,"4-year, Private not-for-profit",-
Allen School-Brooklyn,"188 Montague Street, Brooklyn, New York 11201",www.allenschool.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Allen School-Jamaica,"163-18 Jamaica Avenue, Jamaica, New York 11432",www.allenschool.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions,"3660 Main Street, 4th Floor, Flushing, New York 11354-6507",www.acs.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions - NYC,"545 8th Avenue Suite 1210, New York, New York 10018-4313",www.acs.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
American Academy McAllister Institute of Funeral Service,"1501 Broadway, 11th Floor, Suite 1102, New York, New York 10036",www.funeraleducation.org/,"2-year, Private not-for-profit",-
American Academy of Dramatic Arts-New York,"120 Madison Ave, New York, New York 10016",www.aada.edu/,"2-year, Private not-for-profit",-
American Beauty School,"1380 Metropolitan Avenue, Bronx, New York 10462",www.americanbeautyschool.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
American Musical and Dramatic Academy,"211 West 61st Street, New York, New York 10023",www.amda.edu/,"4-year, primarily associate's, Private not-for-profit",-
