Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Adelphi University,https://www.collegexpress.com/college/adelphi-university/1100006/details/,"Garden City, NY","$39,820",74%,12:1,"Adelphi University, founded in 1896, is a private, coeducational institution. It is known for being a dotoral research university, with focus on the 'Core Four' areas of learning: arts and humanities; STEM and social sciences; business and education professions; and health and wellness. Its main 75-acre campus is in Garden City on Long Island, just 23 miles from New York City.","4-year, Private not-for-profit",-
Albany College of Pharmacy and Health Sciences,https://www.collegexpress.com/college/albany-college-of-pharmacy-and-health-sciences/1100007/details/,"Albany, NY","$36,120",75%,8:1,"Established in 1881, Albany College of Pharmacy and Health Sciences is a private independent specialized health care institution with campuses in Albany, New York, and Colchester, Vermont.","4-year, Private not-for-profit",-
Alfred State College,https://www.collegexpress.com/college/alfred-state-college/3000097/details/,"Alfred, NY","$7,070",71%,18:1,"SUNY College of Technology at Alfred, or Alfred State College, was founded as a school of agriculture in 1908, and was incorporated into the SUNY system in 1948. Today, the college offers a wide variety of majors, from welding to buisness, and focuses on hands-on instruction. Its 150-acre campus is located in Alfred, 75 miles south of Rochester, with a branch campus in Wellsville.",,
Alfred University,https://www.collegexpress.com/college/alfred-university/1100014/details/,"Alfred, NY","$33,760",64%,11:1,"Alfred University is a private, coeducational institution. Its 600-acre campus is located in Alfred, 75 miles south of Rochester.","4-year, Private not-for-profit",-
Alliance University,https://www.collegexpress.com/college/alliance-university/2800143/details/,"New York, NY","$25,000",97%,12:1,"Alliance University, founded in 1882, is a private, Christian liberal arts college located in lower Manhattan.",,
AMDA New York,https://www.collegexpress.com/college/amda-new-york/3302606/details/,"New York, NY","$41,660",44%,,"The American Musical and Dramatic Academy, founded in 1964, is a private two-year institution. Its campus is located in New York, NY.",,
American Academy of Dramatic Arts,https://www.collegexpress.com/college/american-academy-of-dramatic-arts/3301905/details/,"New York, NY","$36,480",57%,,"American Academy of Dramatic Arts, founded in 1884, is a private specialized two-year institution. Its campus is located in New York, NY with a branch campus in Los Angeles.",,
Apex Technical School,https://www.collegexpress.com/college/apex-technical-school/3101001/details/,"Long Island City, NY",,,13:1,"Apex Technical School prepares students for career opportunities utilizing hands on technical training. The school has a rich tradition of service to New Yorkers since 1961 as a private school, licensed by the State of New York Education Department and accredited by the Accrediting Commission of Career Schools and Colleges.","< 2-year, Private for-profit",Electrician
ASA College,https://www.collegexpress.com/college/asa-college/3100996/details/,"Brooklyn, NY","$11,880",,,"ASA College is a private, coeducational institution. Its campus is located in Brooklyn, NY.",,
Atlantic Acting School,https://www.collegexpress.com/college/atlantic-acting-school/5001345/details/,"New York, NY","$17,000",,,Atlantic Acting School is a specialized institution. Its campus is located in New York.,,
Bard College,https://www.collegexpress.com/college/bard-college/1100165/details/,"Annandale-on-Hudson, NY","$55,566",56%,10:1,"Bard College, founded in 1860, is a private, liberal arts college. Its 1,000-acre campus is located in Annandale-on-Hudson, 90 miles north of New York City.","4-year, Private not-for-profit",-
