Name,Location,Website,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
AMDA New York,"New York, NY",https://www.collegexpress.com/college/amda-new-york/3302606/details/,"$41,660",44%,Information Unavailable,"The American Musical and Dramatic Academy, founded in 1964, is a private two-year institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
AMG School of Nursing,"110 Bridge Street, Brooklyn, New York 11201-1728",amg.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Licensed Practical/Vocational Nurse Training
ASA College,"Brooklyn, NY",https://www.collegexpress.com/college/asa-college/3100996/details/,"$11,880",Information Unavailable,Information Unavailable,"ASA College is a private, coeducational institution. Its campus is located in Brooklyn, NY.",Information Unavailable,Information Unavailable
Access Careers,"474 Fulton Avenue, Suite 201, Hempstead, New York 11550-0000",www.accesscareers.net/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Access Careers-Islandia,"1930 Veterans Highway, Suite 10, Islandia, New York 11749-1599",www.accesscareers.net/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Ace Institute of Technology,"312 West 36 Street, 2nd Floor, New York, New York 10018",www.acecareer.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Medical/Clinical Assistant
Adelphi University,"Garden City, NY",https://www.collegexpress.com/college/adelphi-university/1100006/details/,"$39,820",74%,12:1,"Adelphi University, founded in 1896, is a private, coeducational institution. It is known for being a dotoral research university, with focus on the 'Core Four' areas of learning: arts and humanities; STEM and social sciences; business and education professions; and health and wellness. Its main 75-acre campus is in Garden City on Long Island, just 23 miles from New York City.","4-year, Private not-for-profit",-
Aesthetic Science Institute,"922 Troy-Schenectady Road, Latham, New York 12110-1095",www.aestheticscienceinstitute.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Albany BOCES-Adult Practical Nursing Program,"900  Watervliet Shaker Rd, Albany, New York 12205",https://www.capitalregionboces.org/adult-education/classes-programs/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Albany College of Pharmacy and Health Sciences,"Albany, NY",https://www.collegexpress.com/college/albany-college-of-pharmacy-and-health-sciences/1100007/details/,"$36,120",75%,8:1,"Established in 1881, Albany College of Pharmacy and Health Sciences is a private independent specialized health care institution with campuses in Albany, New York, and Colchester, Vermont.","4-year, Private not-for-profit",-
Albany Law School,"80 New Scotland Avenue, Albany, New York 12208",www.albanylaw.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Albany Medical College,"47 New Scotland Ave, Albany, New York 12208-3479",www.amc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Albert Einstein College of Medicine,"1300 Morris Park Avenue, Bronx, New York 10461-1900",www.einsteinmed.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Alfred State College,"Alfred, NY",https://www.collegexpress.com/college/alfred-state-college/3000097/details/,"$7,070",71%,18:1,"SUNY College of Technology at Alfred, or Alfred State College, was founded as a school of agriculture in 1908, and was incorporated into the SUNY system in 1948. Today, the college offers a wide variety of majors, from welding to buisness, and focuses on hands-on instruction. Its 150-acre campus is located in Alfred, 75 miles south of Rochester, with a branch campus in Wellsville.",Information Unavailable,Information Unavailable
Alfred University,"Alfred, NY",https://www.collegexpress.com/college/alfred-university/1100014/details/,"$33,760",64%,11:1,"Alfred University is a private, coeducational institution. Its 600-acre campus is located in Alfred, 75 miles south of Rochester.","4-year, Private not-for-profit",-
Allen School-Brooklyn,"188 Montague Street, Brooklyn, New York 11201",www.allenschool.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Medical/Clinical Assistant
Allen School-Jamaica,"163-18 Jamaica Avenue, Jamaica, New York 11432",www.allenschool.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions,"3660 Main Street, 4th Floor, Flushing, New York 11354-6507",www.acs.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions - NYC,"545 8th Avenue Suite 1210, New York, New York 10018-4313",www.acs.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance University,"New York, NY",https://www.collegexpress.com/college/alliance-university/2800143/details/,"$25,000",97%,12:1,"Alliance University, founded in 1882, is a private, Christian liberal arts college located in lower Manhattan.",Information Unavailable,Information Unavailable
American Academy McAllister Institute of Funeral Service,"1501 Broadway, 11th Floor, Suite 1102, New York, New York 10036",www.funeraleducation.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
American Academy of Dramatic Arts,"New York, NY",https://www.collegexpress.com/college/american-academy-of-dramatic-arts/3301905/details/,"$36,480",57%,Information Unavailable,"American Academy of Dramatic Arts, founded in 1884, is a private specialized two-year institution. Its campus is located in New York, NY with a branch campus in Los Angeles.",Information Unavailable,Information Unavailable
American Academy of Dramatic Arts-New York,"120 Madison Ave, New York, New York 10016",www.aada.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
American Beauty School,"1380 Metropolitan Avenue, Bronx, New York 10462",www.americanbeautyschool.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
